err_x,err_y,err_z,rot_x_1,rot_x_2,rot_x_3,rot_y_1,rot_y_2,rot_y_3,rot_z_1,rot_z_2,rot_z_3,root_linvels_x,root_linvels_y,root_linvels_z,root_angvels_x,root_angvels_y,root_angvels_z,relative_pos0_x,relative_pos0_y,relative_pos0_z,relative_pos1_x,relative_pos1_y,relative_pos1_z,relative_pos2_x,relative_pos2_y,relative_pos2_z,relative_pos3_x,relative_pos3_y,relative_pos3_z
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0010591921,0.0010897095,-0.042649984,0.99994105,0.010799138,0.0011757422,-0.010797197,0.9999403,-0.0016450387,-0.0011934371,0.001632247,0.99999785,-0.00023621356,-0.0015871801,0.049469277,-0.09754289,-0.071173444,0.6449466,0.0010591921,0.0010897095,-0.042649984,0.033081632,0.03310611,-0.042649984,0.09768577,0.097560965,-0.042649984,0.18427491,0.18326415,-0.042649984
0.0041573215,0.004195457,-0.044299006,0.9994741,0.032236166,0.0034027263,-0.032219306,0.99946845,-0.00489887,-0.0035588397,0.0047866623,0.9999818,-0.0016136927,-0.0020515812,0.098951004,-0.19190466,-0.13749978,1.2833964,0.0041573215,0.004195457,-0.044299006,0.04384775,0.043871872,-0.044299006,0.11352587,0.11332046,-0.044299006,0.20364562,0.20227957,-0.044299006
0.009097902,0.00909778,-0.04677272,0.99791473,0.06420877,0.00656064,-0.06414343,0.9978931,-0.009726599,-0.007171352,0.009285497,0.999931,-0.0035375794,-0.0008823797,0.14842452,-0.28014418,-0.2031848,1.9188079,0.009097902,0.00909778,-0.04677272,0.055815354,0.055786498,-0.04677272,0.13019544,0.12982857,-0.04677272,0.2236152,0.22175816,-0.04677272
0.015720949,0.015621138,-0.050070643,0.99423736,0.10667464,0.010598055,-0.106496915,0.9941823,-0.01611808,-0.012255791,0.014896539,0.9998138,-0.005429099,0.0017423623,0.19786817,-0.36172464,-0.27436,2.5562878,0.015720949,0.015621138,-0.050070643,0.06889407,0.06874076,-0.050070643,0.14763965,0.14700635,-0.050070643,0.24414857,0.24163558,-0.050070643
0.023930479,0.023615474,-0.054192185,0.98706615,0.15955713,0.015536626,-0.15916064,0.9869586,-0.024084345,-0.01917684,0.021300029,0.9995889,-0.0072803195,0.0053499145,0.24728264,-0.43484598,-0.3577196,3.1990762,0.023930479,0.023615474,-0.054192185,0.08304829,0.08264108,-0.054192185,0.16585429,0.16478623,-0.054192185,0.26525906,0.26185685,-0.054192185
0.033569913,0.032907747,-0.05913675,0.9746791,0.22258748,0.021337165,-0.22181015,0.97450686,-0.033711817,-0.028297042,0.028125405,0.99920374,-0.009836172,0.009634918,0.29668778,-0.5011541,-0.45246744,3.8464124,0.033569913,0.032907747,-0.05913675,0.09817405,0.0973626,-0.05913675,0.1847632,0.18306579,-0.05913675,0.28688642,0.28233075,-0.05913675
0.044542026,0.04338359,-0.06490362,0.95505124,0.29513654,0.027778106,-0.29375073,0.95481557,-0.045141913,-0.039845996,0.034953,0.99859434,-0.014325032,0.014707702,0.34608278,-0.5631532,-0.55137056,4.4943485,0.044542026,0.04338359,-0.06490362,0.11422014,0.11283218,-0.06490362,0.20433989,0.20179129,-0.06490362,0.3090182,0.30301297,-0.06490362
0.056814805,0.054932006,-0.071492314,0.92593455,0.37609953,0.034555905,-0.37381035,0.9256646,-0.058400277,-0.0539515,0.041157488,0.99769485,-0.021947742,0.021014463,0.3953969,-0.6140225,-0.6510421,5.139165,0.056814805,0.054932006,-0.071492314,0.13119489,0.12897408,-0.071492314,0.22461465,0.22090366,-0.071492314,0.33169776,0.32385322,-0.071492314
0.070374176,0.06741325,-0.07889974,0.88495123,0.4638429,0.041362427,-0.46029887,0.88472944,-0.073337786,-0.07061178,0.045861296,0.9964489,-0.033454005,0.028984947,0.44449246,-0.6437697,-0.7490848,5.780259,0.070374176,0.06741325,-0.07889974,0.14911975,0.14567883,-0.07889974,0.24562867,0.24030806,-0.07889974,0.35497767,0.34476396,-0.07889974
0.08519215,0.08073373,-0.087120414,0.8296956,0.5561667,0.04778663,-0.55098563,0.8296763,-0.08973154,-0.08955314,0.04812012,0.99481875,-0.04901094,0.038649995,0.49323255,-0.65235645,-0.8371641,6.420048,0.08519215,0.08073373,-0.087120414,0.16799815,0.16287889,-0.087120414,0.26740292,0.2599495,-0.087120414,0.3788895,0.365697,-0.087120414
0.101263955,0.09480675,-0.0961467,0.75784254,0.650247,0.053413805,-0.6430526,0.7582702,-0.10728069,-0.11026105,0.046954006,0.9927926,-0.06840584,0.04952346,0.5415514,-0.6397215,-0.9110405,7.063073,0.101263955,0.09480675,-0.0961467,0.1878531,0.18050994,-0.0961467,0.28997633,0.2797749,-0.0961467,0.40348157,0.38660505,-0.0961467
0.118607044,0.109513395,-0.1059705,0.6666385,0.743128,0.057911213,-0.7335947,0.6678759,-0.12562008,-0.13202931,0.04125983,0.9903866,-0.0915494,0.06205534,0.58939666,-0.6110256,-0.9677298,7.8167777,0.118607044,0.109513395,-0.1059705,0.2087268,0.1984725,-0.1059705,0.3134051,0.29969418,-0.1059705,0.42881897,0.40740365,-0.1059705
0.13719922,0.12480843,-0.1165849,0.55434865,0.83004355,0.061030526,-0.8179643,0.5568881,-0.14425518,-0.1537253,0.030046899,0.98765635,-0.11849755,0.07219578,0.6369316,-0.545243,-1.0086021,8.475635,0.13719922,0.12480843,-0.1165849,0.23061898,0.21673802,-0.1165849,0.3377021,0.31968758,-0.1165849,0.4549222,0.4280776,-0.1165849
0.15709247,0.14068921,-0.12798357,0.4209304,0.9049448,0.062387705,-0.8903171,0.4253336,-0.16256219,-0.17364542,0.012882546,0.98472375,-0.14968231,0.07985353,0.68406993,-0.47439274,-1.0105706,9.136884,0.15709247,0.14068921,-0.12798357,0.25360137,0.23531844,-0.12798357,0.36295038,0.33977434,-0.12798357,0.48188162,0.44865078,-0.12798357
0.17824443,0.15714921,-0.1401583,0.26718226,0.96168494,0.061445847,-0.94479024,0.27397338,-0.17974979,-0.18969719,-0.010027461,0.9817913,-0.18541595,0.08357001,0.73065656,-0.4153539,-0.9628711,9.795801,0.17824443,0.15714921,-0.1401583,0.2776492,0.25421983,-0.1401583,0.38913578,0.35996732,-0.1401583,0.5096897,0.46914014,-0.1401583
0.20072389,0.17422332,-0.15309823,0.095546044,0.99373686,0.057945758,-0.9751768,0.10512522,-0.19488083,-0.19975185,-0.03788723,0.97911334,-0.22542916,0.08208218,0.7764883,-0.375401,-0.8689927,10.450997,0.20072389,0.17422332,-0.15309823,0.30284712,0.27348828,-0.15309823,0.41635236,0.38031843,-0.15309823,0.53844637,0.4896012,-0.15309823
0.22454253,0.19197989,-0.16679037,-0.089611396,0.99463207,0.051738188,-0.97533923,-0.07711597,-0.20680076,-0.20170082,-0.068993986,0.97701406,-0.2685678,0.074428424,0.82149434,-0.37569976,-0.7257882,11.101551,0.22454253,0.19197989,-0.16679037,0.32922083,0.29320157,-0.16679037,0.4446347,0.40091103,-0.16679037,0.56819177,0.5101209,-0.16679037
0.24965432,0.21044376,-0.18122339,-0.28182888,0.958512,0.04274384,-0.93968266,-0.26674443,-0.2141116,-0.19382688,-0.10050848,0.9758735,-0.31280923,0.060144138,0.8658562,-0.44869816,-0.5372414,11.746538,0.24965432,0.21044376,-0.18122339,0.35673743,0.31339332,-0.18122339,0.47395754,0.42178336,-0.18122339,0.59890574,0.53074104,-0.18122339
0.27603942,0.22968794,-0.19639158,-0.47253478,0.880756,0.03129857,-0.86364615,-0.45569584,-0.21553753,-0.17557338,-0.12887986,0.97599345,-0.35561025,0.03942895,0.9099747,-0.6058326,-0.33726564,12.385927,0.27603942,0.22968794,-0.19639158,0.38538843,0.33414385,-0.19639158,0.50431967,0.44302028,-0.19639158,0.6305917,0.5515495,-0.19639158
0.30357388,0.2497719,-0.21229684,-0.6511346,0.7587459,0.018115073,-0.7443986,-0.63380486,-0.21014762,-0.14796725,-0.15031922,0.9775015,-0.39446312,0.0130751,0.95429826,-0.84394586,-0.17112406,13.016853,0.30357388,0.2497719,-0.21229684,0.41506046,0.35551938,-0.21229684,0.5356144,0.4646922,-0.21229684,0.66314703,0.5726196,-0.21229684
0.3321211,0.27070355,-0.22894824,-0.80536026,0.59277225,0.003983766,-0.5817809,-0.7891024,-0.19709995,-0.11369179,-0.16105413,0.98037505,-0.42727816,-0.017663993,0.9991461,-1.1668843,-0.076464996,13.633172,0.3321211,0.27070355,-0.22894824,0.44562635,0.3775337,-0.22894824,0.56772035,0.48681647,-0.22894824,0.69645464,0.59397215,-0.22894824
0.36156183,0.29251492,-0.24635863,-0.92208755,0.38684812,-0.010154195,-0.3792021,-0.90847504,-0.17572364,-0.077203184,-0.15818208,0.9843874,-0.4525378,-0.05099775,1.0446613,-1.5572433,-0.09432386,14.230925,0.36156183,0.29251492,-0.24635863,0.4769757,0.4002244,-0.24635863,0.60053277,0.5094343,-0.24635863,0.73041326,0.615651,-0.24635863
0.39169532,0.31510994,-0.26454127,-0.9885309,0.14923663,-0.023134317,-0.14433433,-0.97869503,-0.14602609,-0.04443388,-0.1410122,0.9890102,-0.46962735,-0.084404506,1.0909098,-1.9516165,-0.26340446,14.811864,0.39169532,0.31510994,-0.26454127,0.5089154,0.42349997,-0.26454127,0.6338636,0.53245765,-0.26454127,0.76483816,0.63757116,-0.26454127
0.42242151,0.33842394,-0.2835102,-0.99364424,-0.1073946,-0.033726893,0.11046421,-0.98792326,-0.108652115,-0.021650929,-0.11168717,0.99350727,-0.47928262,-0.11482639,1.1379975,-2.2779508,-0.5896113,15.384429,0.42242151,0.33842394,-0.2835102,0.54135275,0.44730037,-0.2835102,0.6676248,0.5558296,-0.2835102,0.79964435,0.6596785,-0.2835102
0.45357364,0.36233243,-0.30327988,-0.92961925,-0.36627784,-0.0406034,0.36825737,-0.927468,-0.064727604,-0.013950065,-0.07512453,0.99707663,-0.4838495,-0.13928081,1.1860273,-2.476506,-1.0364329,15.961111,0.45357364,0.36233243,-0.30327988,0.57412755,0.47150525,-0.30327988,0.7016602,0.57943267,-0.30327988,0.83467877,0.6818587,-0.30327988
0.48515424,0.38662794,-0.32386422,-0.7933824,-0.60723823,-0.042496346,0.6082588,-0.7935698,-0.016374353,-0.023780681,-0.0388399,0.99896216,-0.48704195,-0.15574256,1.2349362,-2.4802907,-1.5323824,16.554348,0.48515424,0.38662794,-0.32386422,0.60724825,0.4959107,-0.32386422,0.73598254,0.6030664,-0.32386422,0.86995673,0.70391405,-0.32386422
0.51717496,0.41117257,-0.3452716,-0.5880803,-0.80787796,-0.03866171,0.80728596,-0.5892325,0.033080973,-0.049506128,-0.011756796,0.9987042,-0.49317014,-0.16417274,1.2843482,-2.2455802,-1.9695207,17.174656,0.51717496,0.41117257,-0.3452716,0.64073205,0.52038246,-0.3452716,0.77061254,0.6265992,-0.3452716,0.9055013,0.725716,-0.3452716
